-148.408	0.000	0.000	-148.408
-139.805	0.000	0.000	-139.805
-161.362	0.000	0.000	-161.362
-140.519	0.000	0.000	-140.519
-148.987	0.000	0.000	-148.987
-148.055	0.000	0.000	-148.055
-147.504	0.000	0.000	-147.504
-167.452	0.000	0.000	-167.452
-161.005	0.000	0.000	-161.005
-151.501	0.000	0.000	-151.501
-143.599	0.000	0.000	-143.599
-145.093	0.000	0.000	-145.093
-128.003	0.000	0.000	-128.003
-149.197	0.000	0.000	-149.197
-132.259	0.000	0.000	-132.259
-156.763	0.000	0.000	-156.763
-155.098	0.000	0.000	-155.098
-154.479	0.000	0.000	-154.479
-161.554	0.000	0.000	-161.554
-172.026	0.000	0.000	-172.026
-157.820	0.000	0.000	-157.820
-179.896	0.000	0.000	-179.896
-169.698	0.000	0.000	-169.698
-153.816	0.000	0.000	-153.816
-169.756	0.000	0.000	-169.756
-181.738	0.000	0.000	-181.738
