-50.006	0.000	0.000	-50.006
-49.360	0.000	0.000	-49.360
-57.498	0.000	0.000	-57.498
-52.351	0.000	0.000	-52.351
-49.077	0.000	0.000	-49.077
-50.889	0.000	0.000	-50.889
-51.896	0.000	0.000	-51.896
-56.289	0.000	0.000	-56.289
-48.538	0.000	0.000	-48.538
-55.536	0.000	0.000	-55.536
-50.539	0.000	0.000	-50.539
-60.094	0.000	0.000	-60.094
-59.458	0.000	0.000	-59.458
-58.603	0.000	0.000	-58.603
-51.897	0.000	0.000	-51.897
-61.043	0.000	0.000	-61.043
-57.606	0.000	0.000	-57.606
-50.184	0.000	0.000	-50.184
-57.009	0.000	0.000	-57.009
-54.127	0.000	0.000	-54.127
-51.273	0.000	0.000	-51.273
-60.852	0.000	0.000	-60.852
-60.361	0.000	0.000	-60.361
-56.437	0.000	0.000	-56.437
-51.963	0.000	0.000	-51.963
-55.950	0.000	0.000	-55.950
-64.633	0.000	0.000	-64.633
-61.275	0.000	0.000	-61.275
-61.234	0.000	0.000	-61.234
-62.053	0.000	0.000	-62.053
-54.409	0.000	0.000	-54.409
-57.638	0.000	0.000	-57.638
-54.537	0.000	0.000	-54.537
-52.852	0.000	0.000	-52.852
-52.147	0.000	0.000	-52.147
-49.722	0.000	0.000	-49.722
-53.867	0.000	0.000	-53.867
-62.036	0.000	0.000	-62.036
-55.612	0.000	0.000	-55.612
-53.523	0.000	0.000	-53.523
-55.674	0.000	0.000	-55.674
-52.112	0.000	0.000	-52.112
-48.928	0.000	0.000	-48.928
-47.380	0.000	0.000	-47.380
-61.148	0.000	0.000	-61.148
-57.981	0.000	0.000	-57.981
-58.132	0.000	0.000	-58.132
-52.052	0.000	0.000	-52.052
-50.856	0.000	0.000	-50.856
-62.245	0.000	0.000	-62.245
-54.507	0.000	0.000	-54.507
